,market,airlineaa,airlinedl,airlineua,airlineal,airlinelcc,airlinewn,airport1,population1,tourism1,airport2,population2,tourism2,distance,passengers
1,ABEATL,0,1,0,0,0,0,ABE,106632,0,ATL,416474,0,692,3435
2,ABEBNA,0,0,0,1,0,0,ABE,106632,0,BNA,545524,0,715,786
3,ABECVG,0,0,0,0,0,0,ABE,106632,0,CVG,331285,0,503,939
4,ABEDAL,0,0,0,0,0,0,ABE,106632,0,DAL,1188580,0,1354,15
5,ABEDEN,0,0,1,1,0,0,ABE,106632,0,DEN,554636,0,1540,1880
6,ABEDFW,0,0,1,1,0,0,ABE,106632,0,DFW,534694,0,1315,1623
7,ABEFLL,0,1,0,1,0,0,ABE,106632,0,FLL,152397,1,1047,1921
8,ABEIND,0,0,0,1,0,0,ABE,106632,0,IND,781870,0,577,899
9,ABELAX,0,0,0,1,0,0,ABE,106632,0,LAX,3694820,1,2389,1390
10,ABEMCO,0,1,0,1,0,0,ABE,106632,0,MCO,185951,1,906,14824
11,ABEMIA,0,0,0,1,0,0,ABE,106632,0,MIA,362470,1,1068,1132
12,ABEMSY,0,1,0,1,0,0,ABE,106632,0,MSY,484674,0,1111,1021
13,ABEORD,0,0,1,1,0,0,ABE,106632,0,ORD,2896016,0,654,3632
14,ABEPBI,0,0,0,1,0,0,ABE,106632,0,PBI,82103,1,1006,1262
15,ABERSW,0,1,0,1,0,0,ABE,106632,0,RSW,51970,1,1038,1290
16,ABESFO,0,0,1,0,0,0,ABE,106632,0,SFO,776733,1,2500,1299
17,ABESTL,0,0,0,0,0,0,ABE,106632,0,STL,348189,0,805,825
18,ABETPA,0,1,0,1,0,0,ABE,106632,0,TPA,303447,1,963,2673
19,ABQALB,0,1,0,0,0,0,ABQ,448607,0,ALB,95658,0,1833,1266
20,ABQATL,1,1,0,1,1,0,ABQ,448607,0,ATL,416474,0,1269,7280
21,ABQAUS,1,1,0,1,0,1,ABQ,448607,0,AUS,656562,0,613,6843
22,ABQBDL,1,1,0,1,0,0,ABQ,448607,0,BDL,121578,0,1886,4186
23,ABQBHM,0,0,0,1,0,1,ABQ,448607,0,BHM,242820,0,1166,1436
24,ABQBNA,1,1,0,1,0,1,ABQ,448607,0,BNA,545524,0,1123,2920
25,ABQBOI,0,0,1,1,0,1,ABQ,448607,0,BOI,185787,0,781,1353
26,ABQBOS,1,1,1,1,0,0,ABQ,448607,0,BOS,589141,0,1974,6361
27,ABQBTR,0,1,0,0,0,0,ABQ,448607,0,BTR,227818,0,952,520
28,ABQBUF,0,0,0,0,0,0,ABQ,448607,0,BUF,292648,0,1591,784
29,ABQBUR,0,0,0,1,0,1,ABQ,448607,0,BUR,100316,1,672,3984
30,ABQBWI,1,1,1,1,1,1,ABQ,448607,0,BWI,651154,0,1670,14481
31,ABQCMH,1,1,0,1,0,0,ABQ,448607,0,CMH,711470,0,1343,3006
32,ABQCOS,0,0,1,0,0,0,ABQ,448607,0,COS,360890,0,421,501
33,ABQCVG,0,1,0,0,0,0,ABQ,448607,0,CVG,331285,0,1240,2320
34,ABQDAL,0,0,0,0,0,1,ABQ,448607,0,DAL,1188580,0,580,26247
35,ABQDAY,1,0,0,0,0,0,ABQ,448607,0,DAY,166179,0,1272,821
36,ABQDCA,1,1,0,1,0,0,ABQ,448607,0,DCA,572059,0,1650,7891
37,ABQDEN,0,0,1,0,1,0,ABQ,448607,0,DEN,554636,0,349,10251
38,ABQDFW,1,1,0,0,0,0,ABQ,448607,0,DFW,534694,0,569,9465
39,ABQDSM,0,0,1,0,0,0,ABQ,448607,0,DSM,198682,0,938,677
40,ABQELP,0,0,0,0,1,1,ABQ,448607,0,ELP,563662,0,223,8208
41,ABQFLL,1,1,0,1,0,1,ABQ,448607,0,FLL,152397,1,1687,4446
42,ABQGEG,0,0,1,1,0,1,ABQ,448607,0,GEG,195629,0,1035,1551
43,ABQHOU,0,0,0,0,0,1,ABQ,448607,0,HOU,1953631,0,759,8204
44,ABQIAD,1,1,1,0,0,0,ABQ,448607,0,IAD,572059,0,1628,4613
45,ABQIND,1,0,1,1,0,1,ABQ,448607,0,IND,781870,0,1161,3230
46,ABQISP,0,0,0,0,0,1,ABQ,448607,0,ISP,17932,0,1861,1652
47,ABQJAN,0,1,0,0,0,1,ABQ,448607,0,JAN,184256,0,977,791
48,ABQJAX,1,1,0,1,0,0,ABQ,448607,0,JAX,735617,1,1480,1347
49,ABQJFK,1,0,0,0,0,0,ABQ,448607,0,JFK,8008278,0,1825,1132
50,ABQLAX,0,0,1,1,0,1,ABQ,448607,0,LAX,3694820,1,677,29736
51,ABQLGA,1,1,1,1,1,0,ABQ,448607,0,LGA,8008278,0,1821,6798
52,ABQLIT,1,1,0,0,0,1,ABQ,448607,0,LIT,183133,0,817,1519
53,ABQMCI,1,0,1,0,0,1,ABQ,448607,0,MCI,441545,0,718,7202
54,ABQMCO,1,1,1,1,0,1,ABQ,448607,0,MCO,185951,1,1552,9636
55,ABQMDT,0,0,0,0,0,0,ABQ,448607,0,MDT,48880,0,1669,565
56,ABQMDW,0,0,0,0,1,1,ABQ,448607,0,MDW,2896016,0,1121,5034
57,ABQMEM,0,0,0,0,0,0,ABQ,448607,0,MEM,650100,0,1001,859
58,ABQMIA,1,0,0,1,0,0,ABQ,448607,0,MIA,362470,1,1690,1448
59,ABQMKE,1,0,0,1,0,0,ABQ,448607,0,MKE,596974,0,1185,1529
60,ABQMSY,1,1,0,1,0,1,ABQ,448607,0,MSY,484674,0,1015,4335
61,ABQOAK,0,0,1,1,0,1,ABQ,448607,0,OAK,399484,1,889,16590
62,ABQOKC,0,0,0,0,0,1,ABQ,448607,0,OKC,506132,0,510,2082
63,ABQOMA,1,0,1,0,1,0,ABQ,448607,0,OMA,390007,0,725,1520
64,ABQORD,1,1,1,0,0,0,ABQ,448607,0,ORD,2896016,0,1118,9843
65,ABQORF,1,1,0,0,0,0,ABQ,448607,0,ORF,234403,0,1702,1228
66,ABQPBI,0,1,0,1,0,0,ABQ,448607,0,PBI,82103,1,1671,985
67,ABQPDX,0,0,1,1,0,1,ABQ,448607,0,PDX,529121,0,1111,9047
68,ABQPVD,1,1,0,1,0,0,ABQ,448607,0,PVD,173618,0,1950,2903
69,ABQRDU,1,1,0,1,0,1,ABQ,448607,0,RDU,463128,0,1565,3619
70,ABQRIC,1,1,0,0,0,0,ABQ,448607,0,RIC,197790,0,1637,775
71,ABQSAN,0,0,0,1,0,1,ABQ,448607,0,SAN,1223400,1,628,13947
72,ABQSAT,1,1,0,1,0,1,ABQ,448607,0,SAT,1144646,0,609,6559
73,ABQSDF,1,1,0,0,0,1,ABQ,448607,0,SDF,256231,0,1188,1680
74,ABQSEA,0,1,1,1,1,1,ABQ,448607,0,SEA,563374,0,1180,11266
75,ABQSFO,0,0,1,1,0,0,ABQ,448607,0,SFO,776733,1,896,3859
76,ABQSJC,0,0,1,1,0,1,ABQ,448607,0,SJC,894943,1,870,6779
77,ABQSLC,0,1,0,1,0,1,ABQ,448607,0,SLC,181743,0,493,5330
78,ABQSMF,0,0,1,1,0,1,ABQ,448607,0,SMF,407018,1,866,5475
79,ABQSNA,0,0,0,1,0,1,ABQ,448607,0,SNA,337977,1,666,2650
80,ABQSTL,1,0,0,0,0,1,ABQ,448607,0,STL,348189,0,934,6216
81,ABQSYR,1,0,0,0,0,0,ABQ,448607,0,SYR,147306,0,1725,677
82,ABQTPA,1,1,0,1,0,1,ABQ,448607,0,TPA,303447,1,1497,5996
83,ABQTUL,1,0,0,0,0,1,ABQ,448607,0,TUL,393049,0,608,2097
84,ABQTUS,0,0,0,1,0,1,ABQ,448607,0,TUS,486699,0,321,6885
85,ABQTYS,0,1,0,0,0,0,ABQ,448607,0,TYS,173890,0,1339,962
86,AGSATL,0,1,0,0,0,0,AGS,195182,0,ATL,416474,0,143,598
87,AGSBNA,0,1,0,0,0,0,AGS,195182,0,BNA,545524,0,357,404
88,AGSBOS,0,1,0,0,0,0,AGS,195182,0,BOS,589141,0,867,931
89,AGSBWI,0,0,0,0,0,0,AGS,195182,0,BWI,651154,0,500,633
90,AGSCVG,0,1,0,0,0,0,AGS,195182,0,CVG,331285,0,420,441
91,AGSDAL,0,0,0,0,0,0,AGS,195182,0,DAL,1188580,0,864,53
92,AGSDCA,0,1,0,0,0,0,AGS,195182,0,DCA,572059,0,470,893
93,AGSDEN,0,1,0,0,0,0,AGS,195182,0,DEN,554636,0,1342,557
94,AGSDFW,0,1,0,0,0,0,AGS,195182,0,DFW,534694,0,874,955
95,AGSFLL,0,1,0,0,0,0,AGS,195182,0,FLL,152397,1,724,460
96,AGSLAX,0,1,0,0,0,0,AGS,195182,0,LAX,3694820,1,2089,593
97,AGSLGA,0,1,0,0,0,0,AGS,195182,0,LGA,8008278,0,683,1101
98,AGSMCI,0,0,0,0,0,0,AGS,195182,0,MCI,441545,0,835,339
99,AGSMCO,0,1,0,0,0,0,AGS,195182,0,MCO,185951,1,546,530
100,AGSMEM,0,1,0,0,0,0,AGS,195182,0,MEM,650100,0,475,519
101,AGSMIA,0,1,0,0,0,0,AGS,195182,0,MIA,362470,1,738,514
102,AGSMSY,0,1,0,0,0,0,AGS,195182,0,MSY,484674,0,568,387
103,AGSORD,0,1,0,0,0,0,AGS,195182,0,ORD,2896016,0,677,1144
104,AGSSAT,0,1,0,0,0,0,AGS,195182,0,SAT,1144646,0,1017,371
105,AGSSEA,0,0,0,0,0,0,AGS,195182,0,SEA,563374,0,2325,419
106,AGSSFO,0,1,0,0,0,0,AGS,195182,0,SFO,776733,1,2282,501
107,AGSSTL,0,1,0,0,0,0,AGS,195182,0,STL,348189,0,626,457
108,AGSTPA,0,1,0,0,0,0,AGS,195182,0,TPA,303447,1,549,732
109,ALBATL,0,1,0,1,0,0,ALB,95658,0,ATL,416474,0,852,8201
110,ALBAUS,1,1,0,0,0,1,ALB,95658,0,AUS,656562,0,1574,2083
111,ALBBHM,0,1,0,0,0,0,ALB,95658,0,BHM,242820,0,965,1102
112,ALBBNA,0,1,0,1,0,1,ALB,95658,0,BNA,545524,0,825,3434
113,ALBBWI,0,0,0,0,0,1,ALB,95658,0,BWI,651154,0,288,25754
114,ALBCHS,0,0,0,1,0,0,ALB,95658,0,CHS,96650,0,762,857
115,ALBCMH,0,0,0,1,0,1,ALB,95658,0,CMH,711470,0,508,1481
116,ALBCVG,0,1,0,0,0,0,ALB,95658,0,CVG,331285,0,623,2167
117,ALBDAB,0,1,0,0,0,0,ALB,95658,0,DAB,64112,1,1027,497
118,ALBDAL,0,0,0,0,0,0,ALB,95658,0,DAL,1188580,0,1439,170
119,ALBDCA,0,0,0,1,0,0,ALB,95658,0,DCA,572059,0,318,4137
120,ALBDEN,1,1,1,1,0,0,ALB,95658,0,DEN,554636,0,1609,4692
121,ALBDFW,1,1,0,1,0,0,ALB,95658,0,DFW,534694,0,1435,4299
122,ALBFLL,0,1,0,1,0,1,ALB,95658,0,FLL,152397,1,1204,8382
123,ALBGSO,0,0,0,0,0,0,ALB,95658,0,GSO,223891,0,564,722
124,ALBGSP,0,1,0,1,0,0,ALB,95658,0,GSP,56720,0,706,1004
125,ALBHOU,0,0,0,0,0,1,ALB,95658,0,HOU,1953631,0,1495,1555
126,ALBIND,0,0,0,1,0,1,ALB,95658,0,IND,781870,0,682,2371
127,ALBJAX,0,1,0,1,0,1,ALB,95658,0,JAX,735617,1,951,3138
128,ALBJFK,1,0,0,0,0,0,ALB,95658,0,JFK,8008278,0,145,868
